Song Title,Date of Service,Sermon Series
Be Like A Tree,4 Jan,New year Sermon
Come Behold The Wondrous Mystery,4 Jan,New year Sermon
Rejoice,4 Jan,New year Sermon
There's No Greater Love,4 Jan,New year Sermon
Blessed Be The Lord God Almighty,12 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
God The Uncreated One,12 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Rejoice,12 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Everlasting God,12 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Jesus is the King,19 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
King of kings ,19 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Rejoice the Lord is King ,19 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Hymn of the saviour ,19 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Turn your eyes ,19 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Your Love ,26 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
I stand amazed ,26 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
My heart is filled with thankfulness ,26 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Come thou Fount (Chris Tomlin ver) ,26 Jan,What does Jesus Have to Say To His Church? (Revelation 1-3)
Mighty Mighty Saviour ,2 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Only a Holy God ,2 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
There is one gospel ,2 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
O church arise ,2 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Still my soul be still ,2 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Christ Has Risen,9 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Living Hope,9 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
When The Roll Is Called Up Yonder,9 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
In Christ Alone,9 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Because He Lives,9 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
I Am The Way The Truth And The Life,16 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
The Creed,16 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
At The Cross,16 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Amazing Grace (hymn),16 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
There Is One Gospel ,16 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Christ has Risen,23 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Christ Our Hope In Life and Death,23 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Christ is Mine Forevermore,23 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Before the Throne of God Above,23 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Take heart,23 Feb,What does Jesus Have to Say To His Church? (Revelation 1-3)
Jesus Strong and Kind,2 March,What does Jesus Have to Say To His Church? (Revelation 1-3)
Come Priase and Glorify,2 March,What does Jesus Have to Say To His Church? (Revelation 1-3)
All I have is Christ,2 March,What does Jesus Have to Say To His Church? (Revelation 1-3)
The Wonderful Cross,2 March,What does Jesus Have to Say To His Church? (Revelation 1-3)
Amazing Grace (hymn),2 March,What does Jesus Have to Say To His Church? (Revelation 1-3)
Your Love (will last forever),9 March,Dangerous Questions for Grumblers (Malachi)
The Love of God,9 March,Dangerous Questions for Grumblers (Malachi)
Great is the Lord and most worthy,9 March,Dangerous Questions for Grumblers (Malachi)
The Battle and thne Blessing,9 March,Dangerous Questions for Grumblers (Malachi)
Jesus Shall Take the highest honour,16 March,Dangerous Questions for Grumblers (Malachi)
Only a Holy God ,16 March,Dangerous Questions for Grumblers (Malachi)
God the Uncreated One,16 March,Dangerous Questions for Grumblers (Malachi)
I Stand in awe of you,16 March,Dangerous Questions for Grumblers (Malachi)
Your Love,23 March,Dangerous Questions for Grumblers (Malachi)
O How Good It Is,23 March,Dangerous Questions for Grumblers (Malachi)
We Are One,23 March,Dangerous Questions for Grumblers (Malachi)
O Great God,23 March,Dangerous Questions for Grumblers (Malachi)
We Are One,23 March,Dangerous Questions for Grumblers (Malachi)
Purify My Heart (refiner's fire),30 Mar,Dangerous Questions for Grumblers (Malachi)
Nothing But The Blood,30 Mar,Dangerous Questions for Grumblers (Malachi)
Holy Forever,30 Mar,Dangerous Questions for Grumblers (Malachi)
"In Our Lives Lord, Be Glorified",30 Mar,Dangerous Questions for Grumblers (Malachi)
I Will Run To You,30 Mar,Dangerous Questions for Grumblers (Malachi)
All We Like Sheep,6 Apr,Dangerous Questions for Grumblers (Malachi)
Ancient of Days,6 Apr,Dangerous Questions for Grumblers (Malachi)
We Will Feast,6 Apr,Dangerous Questions for Grumblers (Malachi)
My Worth Is Not in What I Own,6 Apr,Dangerous Questions for Grumblers (Malachi)
Mighty Mighty Saviour ,13 Apr,Dangerous Questions for Grumblers (Malachi)
Thank You Jesus For The Blood,13 Apr,Dangerous Questions for Grumblers (Malachi)
When The Roll Is Called Up Yonder,13 Apr,Dangerous Questions for Grumblers (Malachi)
